step,train_loss,train_accuracy,valid_loss,valid_mean_token_accuracy,train_mean_reward,full_validation_mean_reward
540,0.25894,0.91594,,,,
541,0.28277,0.91884,,,,
542,0.28048,0.91014,,,,
543,0.26144,0.90725,,,,
544,0.22203,0.93623,,,,
545,0.24725,0.93333,,,,
546,0.26429,0.90435,,,,
547,0.2522,0.91594,,,,
548,0.28073,0.88986,,,,
549,0.29324,0.90435,,,,
550,0.26924,0.91014,,,,
551,0.26473,0.90725,,,,
552,0.20562,0.93913,,,,
553,0.23693,0.92754,,,,
554,0.26215,0.91014,,,,
555,0.23593,0.91594,,,,
556,0.27615,0.90725,,,,
557,0.23494,0.92174,,,,
558,0.20275,0.93333,,,,
559,0.24073,0.90725,,,,
560,0.23707,0.91884,,,,
561,0.27349,0.92754,,,,
562,0.27922,0.90725,,,,
563,0.30824,0.88986,,,,
564,0.29478,0.88406,,,,
565,0.25287,0.91304,,,,
566,0.25256,0.91884,,,,
567,0.21008,0.95072,,,,
568,0.25699,0.92174,,,,
569,0.27411,0.91014,,,,
570,0.27823,0.90725,,,,
571,0.25992,0.91014,,,,
572,0.23846,0.92464,,,,
573,0.26385,0.90435,,,,
574,0.2312,0.91304,,,,
575,0.27659,0.89855,,,,
576,0.25425,0.89855,,,,
577,0.24223,0.91884,,,,
578,0.27684,0.89565,,,,
579,0.23329,0.93043,,,,
580,0.22097,0.92754,,,,
581,0.26081,0.91884,,,,
582,0.21237,0.93333,,,,
583,0.264,0.90435,,,,
584,0.27537,0.90725,,,,
585,0.30781,0.88116,,,,
586,0.3333,0.86377,,,,
587,0.19725,0.93623,,,,
588,0.29793,0.89275,,,,
589,0.21912,0.92754,,,,
590,0.27226,0.89855,,,,
591,0.26936,0.90725,,,,
592,0.22896,0.92174,,,,
593,0.28064,0.90725,,,,
594,0.26264,0.91884,,,,
595,0.22925,0.91594,,,,
596,0.25935,0.91594,,,,
597,0.29099,0.91304,,,,
598,0.25922,0.91014,,,,
599,0.31288,0.88986,,,,
600,0.30094,0.88696,0.32592,0.89855,,
601,0.30993,0.89275,,,,
602,0.24273,0.92174,,,,
603,0.29483,0.90145,,,,
604,0.26828,0.90725,,,,
605,0.25198,0.91304,,,,
606,0.32862,0.87536,,,,
607,0.27207,0.90435,,,,
608,0.23086,0.92754,,,,
609,0.23182,0.92464,,,,
610,0.27418,0.90725,,,,
611,0.25863,0.91304,,,,
612,0.21764,0.93333,,,,
613,0.28734,0.90725,,,,
614,0.22514,0.93333,,,,
